offset	key	run	text
0x00837135	0x498999d59519b1df	64	 +u3J+;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[@'sSQ3;[
0x008374cd	0x712c726e86b50cfa	10	A'ReFb?GAf
0x0083826c	0xc782406c5834a48f	12	yiA;@%xY_,U1
0x00838bd1	0x0a6e0c6608620030	9	UtHg &,ZD
0x0083adfa	0x4fb99f7bab6b0de9	10	Ghmuo?nv@s
0x0083b62e	0xc9e9ef037f47c747	8	Lif4.IFX
0x0083bded	0xbbf66fd3bb0b72c5	9	]EeyV6zs%
0x0083d38a	0x000844cfbc7734ef	15	;%6=qFxa;t<-QF/
0x0083d8de	0x3636386d62697363	8	ln#S:cie
0x0083eca2	0x4fd7235d9b4d5fe1	10	A$a}pimzBv
0x0083fee0	0xa5ad3b7de525f943	8	fLZdpjm-
0x0083ffb7	0xb7436b39d94b1ba7	9	OmE_.mhoO
0x008406ca	0xa107db5ba7579993	12	4VtOk{8}4Wty
0x00840884	0x0532232232232000	8	 PHTRAC(
0x008411f8	0x634be5bba7ad8ff7	17	NdmOw/ilN$mOw/ilL
0x008413f4	0x3b116de5a5af6d47	13	hk_-LH8ihk_-d
0x008413fc	0x4f81e973af5b9fb1	12	a?k_CBp~a?k_
0x008425ad	0x3f494399572d3765	12	+niv{'9~+nik
0x008425e8	0x6b8d23d31387698d	9	{xBbzdlmO
0x00842b45	0xc181575b67f1237b	11	!`L(oFwWk(L
0x00843273	0x5b5597cba1c973c7	9	CBUb}e1o]
0x00844974	0xb3fdc56d6fe991e1	11	Iq@2@/lZIqO
0x00844a22	0x0029cbc14e5e0a72	8	ORTtz}-e
0x008452a2	0xfd5d730f15d79153	13	-ZIyTh+,-ZIyT
0x00846195	0xfd6fc1b3296305eb	14	}(l%{S:ly(l%{V
0x00846544	0x8f1f0b118725875f	10	v{(E1enUvQ
0x0084701b	0x00184c076ad13c25	8	rUZFNRv 
0x00847258	0xc3fd67052df52bd9	19	Nj,B3&>xNj,B3&>|tc.
0x0084787c	0xef3dd5d1998f25b3	9	|PUTE?per
0x00847bc7	0x006e776f6e6b6e75	11	h\it,2hah9@
0x00849113	0x47d9679fc50517a3	64	t.(.?T\|t.(.?ZVRt.(.?ZVVt.(.?LV@t.(.?h^nt.(.?P]ft.(.?R[bt.(.?F^H
0x0084912d	0x25b729e753134d6b	11	mjbB%'o)mjb
0x00849bcb	0x5b1a0eebea540f77	10	nTr5}qVaF^
0x00849d2a	0x776f6853656d6954	8	b k+jhVl
0x0084a529	0xa34f31bfa925858b	10	=Obe?=T[um
0x0084c5ef	0xe53f136f29cf85e9	12	H-W$6N>dM-w#
0x0084fbe0	0xbba949f919992d3d	9	8hl.U2LPx
0x00851676	0x8b155dd7d7f30563	8	@KSg}Icu
0x00854e53	0x252d45d173374f45	11	Qz. Z!JbYP.
0x00857170	0xeb14b3389b031029	20	5@`s8vA}1_It8vA}5@&u
0x008586d1	0x91cace097f4b2407	9	Q/PGzT7a.
0x00858bfb	0xbd31dff94d575727	9	g`vAXl^}f
0x0085915b	0x254713798389590d	12	%'elDe# =KSz
0x00859221	0x61d9cd5f01e54167	10	\#FNRmLv|!
0x0085ac10	0xe9cda8afa78db3be	9	SFr'G?qjH
0x0085af74	0x1d4f8dcd77cb4f6f	11	n/-Ccd;M^s\
0x0085b652	0xa7d5c3dfb9f1219f	9	OtL\<h/Ku
0x0085b69e	0x193597d3a529d365	9	(zZvM~!rC
0x0085b970	0x61d353d76dfb196d	15	<div id="root">
0x0085b9a0	0x170909d151c3d3e3	15	WJv"UQ  mZif\00
0x0085be30	0x57d1fdbb33b12383	42	Passed buffer is not usable for fs library
0x0085be51	0x3d29075135bdb13b	9	p o.pdgiz
0x0085be95	0xabc71b9347374f41	10	GB>BQ?'ZOJ
0x0085c078	0xa74bed75b1452fc7	38	Invalid NCA header fixed key signature
0x0085c293	0x6351ebe149370b11	11	]l}TcqInI{9
0x0085c318	0xd9d527eb8595110f	21	Unsupported Operation
0x0085c360	0x0d0fdf77493f2d85	27	Invalid contentstorage base
0x0085c39f	0xc393f5c7f7ed5b8b	11	q[?o"rJBkL~
0x0085c632	0x293597131b43d5b3	9	m7?wg/dru
0x0085c651	0x5b0ddf83ff6399f7	10	~0Lxhm |ad
0x0085c77e	0xaf41150b2bd3975f	11	go  OY?B{qC
0x0085cb73	0xc1cb79f199079197	9	U.HSf<sBU
0x0085ce10	0xb10b3dfb896db581	8	bIY[!EhG
0x0085d55b	0xb7ad83e1fded5d81	64	@RgWpse_@*g/pse_@*g/pse_@*g/pse_@*g/pSe]@"g'pSe]@"g'pSe]@"g'pSe]
0x0085d55c	0xa34b6d73653dc51d	64	P&Q#mcjT(&)#mcjT(&)#mcjT(&)#mcjT(&)#McJT &!#McJT &!#McJT &!#McJT
0x0085d55d	0x9d2775ab438527a1	64	P`$kUkL,P~$kUkL,P~$kUkL,P~$kUkL,P~$KUcL$P|$KUcL$P|$KUcL$P|$KUcL$
0x0085d55e	0xc10337f3c1555bfd	64	WKj`}lc`/Kj`}lc`/Kj`}lc`/Kj`}lc`/Kb`]lC`'Kb`]lC`'Kb`]lC`'Kb`]lC`
0x0085d55e	0xe3fd2d95f10b6587	64	!#bxla/\?#bxla/\?#bxla/\?#bxla/\?#Bxda'\=#Bxda'\=#Bxda'\=#Bxda'\
0x0085d5a2	0x65fbdbbbd93369af	64	m4ElT[\#m4ElT[\#m4ElT[\#m4ElT[<#k4%l4[<#k4%l4[<#k4%l4[<#k4%l4[<#
